epoch,lossArr,dicelist,jclist,hd95list,assdlist,splist,recalllist,prelist
0,7.2046913877129555,"tensor(0.7630, device='cuda:0')",0.5306692384007526,46.003983370163475,10.892290034545953,0.9784966602864226,0.746644736011992,0.6378883216398509
1,2.1063481401652098,"tensor(0.7438, device='cuda:0')",0.524787098514426,47.72687564841372,10.862201773010767,0.9738279128766398,0.7604100708681356,0.6257427734215252
2,2.093381764367223,"tensor(0.7271, device='cuda:0')",0.5495681756186025,21.277002279924442,6.794581686780129,0.9931034077447384,0.6590266785885067,0.7508086609143152
3,2.01072945445776,"tensor(0.7329, device='cuda:0')",0.5694393581892805,26.560412497943595,6.913146859475624,0.985066577411355,0.7578973662713102,0.7032073985696625
4,1.8929789923131466,"tensor(0.7397, device='cuda:0')",0.5413097698727772,40.407944878316826,9.323331471985503,0.9579164688977483,0.7934946821644078,0.6364053763408113
5,1.8768230564892292,"tensor(0.7167, device='cuda:0')",0.5305277347746946,39.13385200104926,8.856637657291978,0.9327926599925687,0.8444854301984722,0.6041897020856425
6,1.827938200905919,"tensor(0.6813, device='cuda:0')",0.5891626081776163,32.67757474808216,6.5868114669623195,0.9808800832880046,0.8423358626666164,0.6657534376422688
7,1.681611429899931,"tensor(0.7588, device='cuda:0')",0.5564114860078422,35.80162401211785,9.686138660354121,0.9896350576002648,0.6811946177873234,0.6999593448449694
8,1.7604471947997808,"tensor(0.6837, device='cuda:0')",0.5948937576915403,20.948891457322446,4.3199422915933905,0.9509357443509465,0.7958463476817281,0.7426476040018231
9,1.5880875121802092,"tensor(0.6895, device='cuda:0')",0.6491686580002457,16.3036696580685,3.4046607349857956,0.9924166953827407,0.8054349278310436,0.7832791101537401
10,1.6281945817172527,"tensor(0.7204, device='cuda:0')",0.6375387257616062,15.750172932388494,3.4974803318304795,0.972126726942374,0.7755082444293867,0.8079524659417694
11,1.6353483460843563,"tensor(0.7080, device='cuda:0')",0.6332539827765912,15.468763240138468,4.64104282800506,0.9741620656242136,0.7672950191158057,0.7860292246221044
12,1.5961284562945366,"tensor(0.6922, device='cuda:0')",0.6647443682687924,18.07892623619412,3.6863675702115115,0.9737684299203059,0.7980875259198182,0.8067940717755727
13,1.615245919674635,"tensor(0.7183, device='cuda:0')",0.6675354080743888,13.991092012264032,2.7757893628523695,0.9749620525812484,0.7811891685324915,0.8369009306526765
14,1.5745082404464483,"tensor(0.6534, device='cuda:0')",0.6579729990758632,15.011593205633838,3.1925521684478504,0.991654345860859,0.8348458798280685,0.7626608804308618
15,1.5599649026989937,"tensor(0.6592, device='cuda:0')",0.6476205010268075,16.88312082243217,3.7174318265512727,0.988634647228348,0.8683457114922875,0.718992694504203
16,1.4829244185239077,"tensor(0.6558, device='cuda:0')",0.6786555355836078,13.580300867055522,2.534701997434414,0.9914574158604479,0.8389866168936759,0.7914436342162997
17,1.5113168768584728,"tensor(0.6944, device='cuda:0')",0.6740068575785487,12.889422471236642,2.8677170064946824,0.991930215843378,0.8145874528619891,0.8056222117291804
18,1.5894930344074965,"tensor(0.6340, device='cuda:0')",0.6784048895643694,13.96271599104537,2.395769820013504,0.991713265722715,0.853112872642695,0.779269278730932
19,1.5237407460808754,"tensor(0.6969, device='cuda:0')",0.680599307981133,15.606522568801154,2.8142033551257124,0.9908170458581512,0.8328260869393325,0.7978984193219051
20,1.4813240114599466,"tensor(0.6561, device='cuda:0')",0.6447482846153657,17.230931809499243,3.4507452959158504,0.9887633918113095,0.874655655498751,0.714844751090289
21,1.4532251115888357,"tensor(0.6558, device='cuda:0')",0.693622668354473,10.83914533382102,1.6648192814216802,0.9946966161431353,0.8126032902945469,0.8401570170622542
22,1.4197962135076523,"tensor(0.6460, device='cuda:0')",0.7045919998691534,9.894356892570592,1.7214703781991123,0.9944925863318272,0.8325985132966259,0.8306673296297455
23,1.4675550684332848,"tensor(0.6290, device='cuda:0')",0.6662178890929082,14.328646295218714,2.332564010938343,0.9897325693910628,0.8831002666374335,0.7432360899956142
24,1.4066064972430468,"tensor(0.6513, device='cuda:0')",0.6945719109118438,13.224502672137092,2.2171876188289947,0.9935413354990539,0.8255330410931956,0.8187131775365903
25,1.427586542442441,"tensor(0.6517, device='cuda:0')",0.7058706024179592,7.42009318188514,1.5447446865082848,0.9941005825624147,0.8449283439018401,0.8187882088856616
26,1.575435234233737,"tensor(0.6553, device='cuda:0')",0.655509189069753,20.66913416658616,3.472181653486922,0.9689800700506811,0.8833170270766,0.7240417460092422
27,1.4698502384126186,"tensor(0.6487, device='cuda:0')",0.6182065079269417,22.228018022431353,3.50843524636501,0.9809409090342345,0.9273284663146734,0.6489428187826346
